2024-08-29 14:17:48,104 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:17:48,222 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:17:49,260 Total fires detected: 2, Current fire count: 2, Max fire box: (458, 4, 1159, 652), Avg confidence: 0.58, Center position: (710, 350)
2024-08-29 14:52:52,405 Total fires detected: 4, Current fire count: 3, Max fire box: (160, 104, 281, 236), Avg confidence: 0.32, Center position: (252, 299)
2024-08-29 14:52:53,418 Total fires detected: 4, Current fire count: 3, Max fire box: (162, 105, 281, 234), Avg confidence: 0.29, Center position: (253, 299)
2024-08-29 14:52:54,420 Total fires detected: 4, Current fire count: 3, Max fire box: (162, 105, 281, 234), Avg confidence: 0.38, Center position: (294, 288)
2024-08-29 14:52:55,439 Total fires detected: 4, Current fire count: 3, Max fire box: (188, 14, 321, 152), Avg confidence: 0.30, Center position: (306, 259)
2024-08-29 14:52:56,464 Total fires detected: 4, Current fire count: 2, Max fire box: (187, 15, 320, 142), Avg confidence: 0.32, Center position: (258, 184)
2024-08-29 14:52:57,476 Total fires detected: 4, Current fire count: 2, Max fire box: (188, 13, 304, 121), Avg confidence: 0.33, Center position: (254, 179)
2024-08-29 14:52:58,522 Total fires detected: 4, Current fire count: 2, Max fire box: (187, 14, 296, 124), Avg confidence: 0.00, Center position: (240, 240)
2024-08-29 14:52:59,529 Total fires detected: 4, Current fire count: 2, Max fire box: (187, 14, 296, 124), Avg confidence: 0.00, Center position: (240, 240)
2024-08-29 14:53:00,546 Total fires detected: 4, Current fire count: 2, Max fire box: (187, 14, 296, 124), Avg confidence: 0.00, Center position: (240, 240)
2024-08-29 14:53:01,584 Total fires detected: 4, Current fire count: 2, Max fire box: (218, 390, 261, 435), Avg confidence: 0.30, Center position: (208, 241)
2024-08-29 14:53:02,609 Total fires detected: 4, Current fire count: 2, Max fire box: (34, 52, 127, 94), Avg confidence: 0.00, Center position: (159, 242)
2024-08-29 14:53:03,631 Total fires detected: 5, Current fire count: 2, Max fire box: (34, 52, 127, 94), Avg confidence: 0.30, Center position: (163, 237)
2024-08-29 14:53:04,661 Total fires detected: 5, Current fire count: 2, Max fire box: (34, 52, 127, 94), Avg confidence: 0.00, Center position: (164, 237)
2024-08-29 14:53:05,675 Total fires detected: 5, Current fire count: 2, Max fire box: (34, 52, 127, 94), Avg confidence: 0.00, Center position: (165, 236)
2024-08-29 14:53:06,689 Total fires detected: 5, Current fire count: 2, Max fire box: (34, 52, 127, 94), Avg confidence: 0.00, Center position: (166, 237)
2024-08-29 14:53:07,728 Total fires detected: 5, Current fire count: 2, Max fire box: (233, 376, 278, 424), Avg confidence: 0.33, Center position: (224, 233)
2024-08-29 14:53:08,770 Total fires detected: 5, Current fire count: 2, Max fire box: (235, 375, 279, 423), Avg confidence: 0.00, Center position: (225, 233)
2024-08-29 14:53:09,829 Total fires detected: 5, Current fire count: 2, Max fire box: (235, 375, 279, 423), Avg confidence: 0.00, Center position: (225, 233)
2024-08-29 14:53:10,842 Total fires detected: 5, Current fire count: 2, Max fire box: (235, 375, 279, 423), Avg confidence: 0.00, Center position: (225, 233)
2024-08-29 14:53:11,894 Total fires detected: 5, Current fire count: 2, Max fire box: (235, 375, 279, 423), Avg confidence: 0.00, Center position: (225, 233)
2024-08-29 14:53:12,933 Total fires detected: 5, Current fire count: 1, Max fire box: (235, 375, 279, 423), Avg confidence: 0.00, Center position: (257, 399)
2024-08-29 14:53:13,954 Total fires detected: 5, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:53:14,999 Total fires detected: 5, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:53:16,051 Total fires detected: 7, Current fire count: 2, Max fire box: (102, 418, 128, 439), Avg confidence: 0.30, Center position: (110, 287)
2024-08-29 14:53:17,061 Total fires detected: 8, Current fire count: 3, Max fire box: (332, 119, 357, 187), Avg confidence: 0.00, Center position: (250, 248)
2024-08-29 14:53:18,057 Total fires detected: 8, Current fire count: 3, Max fire box: (332, 119, 357, 187), Avg confidence: 0.47, Center position: (261, 250)
2024-08-29 14:53:19,100 Total fires detected: 9, Current fire count: 4, Max fire box: (332, 119, 357, 187), Avg confidence: 0.35, Center position: (224, 291)
2024-08-29 14:53:20,124 Total fires detected: 9, Current fire count: 4, Max fire box: (332, 119, 357, 187), Avg confidence: 0.41, Center position: (178, 295)
2024-08-29 14:53:21,154 Total fires detected: 9, Current fire count: 4, Max fire box: (332, 119, 357, 187), Avg confidence: 0.40, Center position: (213, 341)
2024-08-29 14:53:22,203 Total fires detected: 9, Current fire count: 2, Max fire box: (303, 541, 332, 577), Avg confidence: 0.33, Center position: (204, 522)
2024-08-29 14:53:23,226 Total fires detected: 9, Current fire count: 2, Max fire box: (81, 467, 101, 503), Avg confidence: 0.32, Center position: (203, 525)
2024-08-29 14:53:24,286 Total fires detected: 9, Current fire count: 2, Max fire box: (177, 610, 208, 639), Avg confidence: 0.00, Center position: (141, 554)
2024-08-29 14:53:25,349 Total fires detected: 9, Current fire count: 2, Max fire box: (177, 610, 208, 639), Avg confidence: 0.00, Center position: (141, 554)
2024-08-29 14:53:26,347 Total fires detected: 9, Current fire count: 1, Max fire box: (338, 609, 355, 620), Avg confidence: 0.00, Center position: (346, 614)
2024-08-29 14:53:27,389 Total fires detected: 9, Current fire count: 1, Max fire box: (338, 609, 355, 620), Avg confidence: 0.00, Center position: (346, 614)
2024-08-29 14:53:28,410 Total fires detected: 9, Current fire count: 1, Max fire box: (338, 609, 355, 620), Avg confidence: 0.00, Center position: (346, 614)
2024-08-29 14:53:29,448 Total fires detected: 10, Current fire count: 2, Max fire box: (220, 283, 262, 303), Avg confidence: 0.00, Center position: (293, 453)
2024-08-29 14:53:30,490 Total fires detected: 10, Current fire count: 2, Max fire box: (220, 283, 262, 303), Avg confidence: 0.00, Center position: (293, 453)
2024-08-29 14:53:31,546 Total fires detected: 10, Current fire count: 1, Max fire box: (262, 286, 303, 305), Avg confidence: 0.00, Center position: (282, 295)
2024-08-29 14:53:32,607 Total fires detected: 10, Current fire count: 1, Max fire box: (262, 286, 303, 305), Avg confidence: 0.00, Center position: (282, 295)
2024-08-29 14:53:33,674 Total fires detected: 11, Current fire count: 1, Max fire box: (248, 557, 278, 583), Avg confidence: 0.50, Center position: (263, 570)
2024-08-29 14:53:34,704 Total fires detected: 11, Current fire count: 1, Max fire box: (289, 578, 306, 603), Avg confidence: 0.36, Center position: (297, 590)
2024-08-29 14:53:35,761 Total fires detected: 11, Current fire count: 1, Max fire box: (292, 542, 301, 555), Avg confidence: 0.43, Center position: (296, 548)
2024-08-29 14:53:36,813 Total fires detected: 11, Current fire count: 1, Max fire box: (202, 529, 230, 552), Avg confidence: 0.44, Center position: (216, 540)
2024-08-29 14:53:37,845 Total fires detected: 11, Current fire count: 1, Max fire box: (277, 562, 357, 620), Avg confidence: 0.00, Center position: (317, 591)
2024-08-29 14:53:38,866 Total fires detected: 12, Current fire count: 1, Max fire box: (141, 182, 194, 264), Avg confidence: 0.00, Center position: (167, 223)
2024-08-29 14:53:39,912 Total fires detected: 12, Current fire count: 1, Max fire box: (138, 193, 188, 273), Avg confidence: 0.00, Center position: (163, 233)
2024-08-29 14:53:40,945 Total fires detected: 12, Current fire count: 1, Max fire box: (125, 199, 179, 280), Avg confidence: 0.26, Center position: (152, 239)
2024-08-29 14:53:41,954 Total fires detected: 12, Current fire count: 1, Max fire box: (121, 206, 171, 281), Avg confidence: 0.30, Center position: (146, 243)
2024-08-29 14:53:42,973 Total fires detected: 12, Current fire count: 1, Max fire box: (117, 202, 168, 284), Avg confidence: 0.00, Center position: (142, 243)
2024-08-29 14:53:44,022 Total fires detected: 12, Current fire count: 1, Max fire box: (123, 184, 174, 261), Avg confidence: 0.00, Center position: (148, 222)
2024-08-29 14:53:45,055 Total fires detected: 12, Current fire count: 1, Max fire box: (140, 173, 194, 266), Avg confidence: 0.27, Center position: (167, 219)
2024-08-29 14:56:30,837 Total fires detected: 1, Current fire count: 1, Max fire box: (779, 59, 804, 91), Avg confidence: 0.38, Center position: (791, 75)
2024-08-29 14:56:31,027 Total fires detected: 1, Current fire count: 1, Max fire box: (778, 58, 804, 91), Avg confidence: 0.38, Center position: (791, 74)
2024-08-29 14:56:32,053 Total fires detected: 1, Current fire count: 1, Max fire box: (779, 57, 838, 136), Avg confidence: 0.40, Center position: (808, 96)
2024-08-29 14:56:35,078 Total fires detected: 1, Current fire count: 1, Max fire box: (780, 91, 838, 145), Avg confidence: 0.52, Center position: (809, 118)
2024-08-29 14:56:36,389 Total fires detected: 1, Current fire count: 1, Max fire box: (787, 104, 837, 144), Avg confidence: 0.45, Center position: (812, 124)
2024-08-29 14:56:38,042 Total fires detected: 2, Current fire count: 2, Max fire box: (783, 85, 838, 146), Avg confidence: 0.42, Center position: (769, 354)
2024-08-29 14:56:39,092 Total fires detected: 2, Current fire count: 2, Max fire box: (706, 565, 746, 627), Avg confidence: 0.36, Center position: (769, 359)
2024-08-29 14:56:40,149 Total fires detected: 2, Current fire count: 2, Max fire box: (785, 102, 839, 147), Avg confidence: 0.39, Center position: (769, 359)
2024-08-29 14:56:41,154 Total fires detected: 2, Current fire count: 2, Max fire box: (702, 562, 743, 625), Avg confidence: 0.35, Center position: (769, 358)
2024-08-29 14:56:42,179 Total fires detected: 2, Current fire count: 2, Max fire box: (713, 567, 742, 624), Avg confidence: 0.32, Center position: (759, 335)
2024-08-29 14:56:43,230 Total fires detected: 2, Current fire count: 2, Max fire box: (714, 569, 742, 624), Avg confidence: 0.32, Center position: (759, 336)
2024-08-29 14:56:44,285 Total fires detected: 3, Current fire count: 3, Max fire box: (620, 50, 812, 273), Avg confidence: 0.41, Center position: (755, 365)
2024-08-29 14:56:45,335 Total fires detected: 4, Current fire count: 4, Max fire box: (623, 50, 813, 271), Avg confidence: 0.38, Center position: (773, 354)
2024-08-29 14:56:46,352 Total fires detected: 4, Current fire count: 4, Max fire box: (619, 52, 811, 267), Avg confidence: 0.45, Center position: (773, 354)
2024-08-29 14:56:47,380 Total fires detected: 4, Current fire count: 4, Max fire box: (623, 52, 812, 269), Avg confidence: 0.41, Center position: (746, 305)
2024-08-29 14:56:48,420 Total fires detected: 4, Current fire count: 3, Max fire box: (623, 52, 812, 269), Avg confidence: 0.38, Center position: (751, 209)
2024-08-29 14:56:49,458 Total fires detected: 4, Current fire count: 3, Max fire box: (623, 52, 812, 269), Avg confidence: 0.35, Center position: (752, 215)
2024-08-29 14:56:50,474 Total fires detected: 4, Current fire count: 3, Max fire box: (623, 52, 812, 269), Avg confidence: 0.39, Center position: (752, 212)
2024-08-29 14:56:51,471 Total fires detected: 4, Current fire count: 3, Max fire box: (623, 52, 812, 269), Avg confidence: 0.50, Center position: (751, 211)
2024-08-29 14:56:52,525 Total fires detected: 4, Current fire count: 2, Max fire box: (622, 51, 821, 241), Avg confidence: 0.41, Center position: (772, 239)
2024-08-29 14:56:53,586 Total fires detected: 4, Current fire count: 2, Max fire box: (688, 101, 745, 205), Avg confidence: 0.44, Center position: (770, 241)
2024-08-29 14:56:54,632 Total fires detected: 4, Current fire count: 2, Max fire box: (684, 98, 748, 203), Avg confidence: 0.46, Center position: (770, 239)
2024-08-29 14:56:55,688 Total fires detected: 4, Current fire count: 2, Max fire box: (681, 100, 748, 204), Avg confidence: 0.51, Center position: (769, 240)
2024-08-29 14:56:56,743 Total fires detected: 4, Current fire count: 2, Max fire box: (681, 101, 747, 204), Avg confidence: 0.51, Center position: (769, 240)
2024-08-29 14:56:57,749 Total fires detected: 4, Current fire count: 2, Max fire box: (681, 102, 747, 202), Avg confidence: 0.51, Center position: (769, 240)
2024-08-29 14:56:58,766 Total fires detected: 4, Current fire count: 1, Max fire box: (680, 102, 749, 203), Avg confidence: 0.55, Center position: (714, 152)
2024-08-29 14:56:59,833 Total fires detected: 4, Current fire count: 1, Max fire box: (678, 100, 748, 205), Avg confidence: 0.53, Center position: (713, 152)
2024-08-29 14:57:00,847 Total fires detected: 4, Current fire count: 1, Max fire box: (678, 100, 749, 205), Avg confidence: 0.52, Center position: (713, 152)
2024-08-29 14:57:01,885 Total fires detected: 4, Current fire count: 1, Max fire box: (679, 99, 749, 205), Avg confidence: 0.55, Center position: (714, 152)
2024-08-29 14:57:02,923 Total fires detected: 4, Current fire count: 1, Max fire box: (679, 96, 749, 206), Avg confidence: 0.48, Center position: (714, 151)
2024-08-29 14:57:03,967 Total fires detected: 4, Current fire count: 1, Max fire box: (676, 96, 749, 205), Avg confidence: 0.49, Center position: (712, 150)
2024-08-29 14:57:05,011 Total fires detected: 4, Current fire count: 1, Max fire box: (679, 96, 748, 205), Avg confidence: 0.46, Center position: (713, 150)
2024-08-29 14:57:06,040 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (765, 318)
2024-08-29 14:57:07,084 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (765, 318)
2024-08-29 14:57:08,099 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (765, 318)
2024-08-29 14:57:09,125 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (765, 318)
2024-08-29 14:57:10,134 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.25, Center position: (763, 318)
2024-08-29 14:57:11,156 Total fires detected: 5, Current fire count: 1, Max fire box: (781, 461, 842, 508), Avg confidence: 0.26, Center position: (811, 484)
2024-08-29 14:57:12,175 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 14:57:13,188 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 14:57:14,252 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 14:57:15,287 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 14:57:16,325 Total fires detected: 5, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:57:17,335 Total fires detected: 5, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:02:40,126 Total fires detected: 1, Current fire count: 1, Max fire box: (779, 59, 804, 91), Avg confidence: 0.38, Center position: (791, 75)
2024-08-29 15:02:40,264 Total fires detected: 1, Current fire count: 1, Max fire box: (778, 58, 804, 91), Avg confidence: 0.38, Center position: (791, 74)
2024-08-29 15:02:41,269 Total fires detected: 1, Current fire count: 1, Max fire box: (782, 102, 838, 147), Avg confidence: 0.47, Center position: (810, 124)
2024-08-29 15:02:42,317 Total fires detected: 1, Current fire count: 1, Max fire box: (780, 96, 838, 146), Avg confidence: 0.51, Center position: (809, 121)
2024-08-29 15:02:43,373 Total fires detected: 2, Current fire count: 2, Max fire box: (783, 102, 838, 145), Avg confidence: 0.38, Center position: (770, 358)
2024-08-29 15:02:44,400 Total fires detected: 2, Current fire count: 2, Max fire box: (712, 567, 744, 625), Avg confidence: 0.33, Center position: (759, 335)
2024-08-29 15:02:45,414 Total fires detected: 2, Current fire count: 2, Max fire box: (786, 102, 838, 146), Avg confidence: 0.37, Center position: (770, 359)
2024-08-29 15:02:46,437 Total fires detected: 2, Current fire count: 2, Max fire box: (702, 562, 743, 626), Avg confidence: 0.35, Center position: (769, 359)
2024-08-29 15:02:47,453 Total fires detected: 2, Current fire count: 2, Max fire box: (713, 567, 742, 624), Avg confidence: 0.32, Center position: (759, 335)
2024-08-29 15:02:48,492 Total fires detected: 3, Current fire count: 3, Max fire box: (620, 50, 812, 272), Avg confidence: 0.39, Center position: (755, 364)
2024-08-29 15:02:49,509 Total fires detected: 3, Current fire count: 3, Max fire box: (618, 50, 812, 273), Avg confidence: 0.41, Center position: (755, 365)
2024-08-29 15:02:50,561 Total fires detected: 4, Current fire count: 4, Max fire box: (624, 52, 811, 266), Avg confidence: 0.33, Center position: (773, 353)
2024-08-29 15:02:51,583 Total fires detected: 4, Current fire count: 4, Max fire box: (622, 52, 814, 268), Avg confidence: 0.54, Center position: (773, 354)
2024-08-29 15:02:52,621 Total fires detected: 4, Current fire count: 4, Max fire box: (623, 52, 812, 269), Avg confidence: 0.41, Center position: (747, 304)
2024-08-29 15:02:53,623 Total fires detected: 4, Current fire count: 3, Max fire box: (623, 52, 812, 269), Avg confidence: 0.34, Center position: (753, 210)
2024-08-29 15:02:54,651 Total fires detected: 4, Current fire count: 3, Max fire box: (623, 52, 812, 269), Avg confidence: 0.34, Center position: (752, 212)
2024-08-29 15:02:55,671 Total fires detected: 4, Current fire count: 3, Max fire box: (623, 52, 812, 269), Avg confidence: 0.54, Center position: (752, 212)
2024-08-29 15:02:56,714 Total fires detected: 4, Current fire count: 3, Max fire box: (623, 52, 812, 269), Avg confidence: 0.51, Center position: (751, 211)
2024-08-29 15:02:57,742 Total fires detected: 4, Current fire count: 2, Max fire box: (625, 55, 816, 227), Avg confidence: 0.52, Center position: (771, 236)
2024-08-29 15:02:58,752 Total fires detected: 4, Current fire count: 2, Max fire box: (688, 101, 745, 206), Avg confidence: 0.44, Center position: (770, 241)
2024-08-29 15:02:59,800 Total fires detected: 4, Current fire count: 2, Max fire box: (684, 98, 748, 203), Avg confidence: 0.48, Center position: (770, 239)
2024-08-29 15:03:00,811 Total fires detected: 4, Current fire count: 2, Max fire box: (681, 100, 748, 203), Avg confidence: 0.50, Center position: (769, 240)
2024-08-29 15:03:01,843 Total fires detected: 4, Current fire count: 2, Max fire box: (681, 100, 747, 203), Avg confidence: 0.50, Center position: (769, 240)
2024-08-29 15:03:02,886 Total fires detected: 4, Current fire count: 2, Max fire box: (681, 102, 748, 202), Avg confidence: 0.52, Center position: (769, 240)
2024-08-29 15:03:03,915 Total fires detected: 4, Current fire count: 1, Max fire box: (679, 101, 749, 204), Avg confidence: 0.54, Center position: (714, 152)
2024-08-29 15:03:04,949 Total fires detected: 4, Current fire count: 1, Max fire box: (678, 100, 748, 205), Avg confidence: 0.54, Center position: (713, 152)
2024-08-29 15:03:06,003 Total fires detected: 4, Current fire count: 1, Max fire box: (678, 100, 750, 205), Avg confidence: 0.55, Center position: (714, 152)
2024-08-29 15:03:07,014 Total fires detected: 4, Current fire count: 1, Max fire box: (678, 99, 750, 204), Avg confidence: 0.51, Center position: (714, 151)
2024-08-29 15:03:08,021 Total fires detected: 4, Current fire count: 1, Max fire box: (679, 95, 748, 207), Avg confidence: 0.51, Center position: (713, 151)
2024-08-29 15:03:09,041 Total fires detected: 4, Current fire count: 1, Max fire box: (678, 96, 749, 205), Avg confidence: 0.48, Center position: (713, 150)
2024-08-29 15:03:10,101 Total fires detected: 4, Current fire count: 1, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (714, 151)
2024-08-29 15:03:11,111 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (765, 318)
2024-08-29 15:03:12,164 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (765, 318)
2024-08-29 15:03:13,184 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (765, 318)
2024-08-29 15:03:14,220 Total fires detected: 5, Current fire count: 2, Max fire box: (680, 96, 748, 206), Avg confidence: 0.00, Center position: (765, 318)
2024-08-29 15:03:15,259 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 462, 844, 509), Avg confidence: 0.00, Center position: (811, 485)
2024-08-29 15:03:16,268 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 15:03:17,271 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 15:03:18,290 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 15:03:19,312 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 15:03:20,330 Total fires detected: 5, Current fire count: 1, Max fire box: (779, 460, 841, 508), Avg confidence: 0.00, Center position: (810, 484)
2024-08-29 15:03:21,350 Total fires detected: 5, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:03:22,394 Total fires detected: 5, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:16,130 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:16,259 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:17,259 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:18,341 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:19,356 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:20,388 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:21,412 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:22,469 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:23,467 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:24,523 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:25,528 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:26,532 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:27,558 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:28,560 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:29,568 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:30,618 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:31,649 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:32,655 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:33,667 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:10:34,706 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:15:55,956 Total fires detected: 1, Current fire count: 1, Max fire box: (366, 2, 639, 214), Avg confidence: 0.32, Center position: (502, 108)
2024-08-29 15:15:56,093 Total fires detected: 1, Current fire count: 1, Max fire box: (439, 179, 465, 235), Avg confidence: 0.28, Center position: (452, 207)
2024-08-29 15:15:57,088 Total fires detected: 1, Current fire count: 1, Max fire box: (440, 181, 467, 238), Avg confidence: 0.00, Center position: (453, 209)
2024-08-29 15:15:58,124 Total fires detected: 1, Current fire count: 1, Max fire box: (440, 181, 467, 238), Avg confidence: 0.00, Center position: (453, 209)
2024-08-29 15:15:59,155 Total fires detected: 1, Current fire count: 1, Max fire box: (440, 181, 467, 238), Avg confidence: 0.00, Center position: (453, 209)
2024-08-29 15:16:00,194 Total fires detected: 1, Current fire count: 1, Max fire box: (440, 181, 467, 238), Avg confidence: 0.00, Center position: (453, 209)
2024-08-29 15:16:01,252 Total fires detected: 1, Current fire count: 1, Max fire box: (440, 181, 467, 238), Avg confidence: 0.00, Center position: (453, 209)
2024-08-29 15:16:02,276 Total fires detected: 1, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:16:03,304 Total fires detected: 1, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:16:04,360 Total fires detected: 2, Current fire count: 1, Max fire box: (6, 17, 431, 358), Avg confidence: 0.00, Center position: (218, 187)
2024-08-29 15:17:06,091 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:17:06,214 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 15:17:07,246 Total fires detected: 1, Current fire count: 1, Max fire box: (46, 103, 62, 119), Avg confidence: 0.00, Center position: (54, 111)
2024-08-29 15:17:08,241 Total fires detected: 1, Current fire count: 1, Max fire box: (51, 117, 69, 130), Avg confidence: 0.00, Center position: (60, 123)
2024-08-29 15:17:09,299 Total fires detected: 1, Current fire count: 1, Max fire box: (60, 80, 75, 91), Avg confidence: 0.00, Center position: (67, 85)
2024-08-29 15:17:10,360 Total fires detected: 1, Current fire count: 1, Max fire box: (60, 80, 75, 91), Avg confidence: 0.00, Center position: (67, 85)
2024-08-29 15:17:11,398 Total fires detected: 1, Current fire count: 1, Max fire box: (60, 80, 75, 91), Avg confidence: 0.00, Center position: (67, 85)
2024-08-29 15:17:12,400 Total fires detected: 1, Current fire count: 1, Max fire box: (13, 63, 49, 90), Avg confidence: 0.37, Center position: (31, 76)
2024-08-29 15:17:13,446 Total fires detected: 1, Current fire count: 1, Max fire box: (14, 63, 51, 90), Avg confidence: 0.00, Center position: (32, 76)
2024-08-29 15:17:14,500 Total fires detected: 1, Current fire count: 1, Max fire box: (14, 63, 51, 90), Avg confidence: 0.00, Center position: (32, 76)
2024-08-29 15:17:15,554 Total fires detected: 1, Current fire count: 1, Max fire box: (39, 70, 83, 118), Avg confidence: 0.00, Center position: (61, 94)
2024-08-29 15:17:16,577 Total fires detected: 1, Current fire count: 1, Max fire box: (39, 70, 83, 118), Avg confidence: 0.00, Center position: (61, 94)
2024-08-29 15:17:17,644 Total fires detected: 1, Current fire count: 1, Max fire box: (58, 91, 77, 113), Avg confidence: 0.44, Center position: (67, 102)
2024-08-29 15:17:18,698 Total fires detected: 1, Current fire count: 1, Max fire box: (110, 103, 119, 115), Avg confidence: 0.00, Center position: (114, 109)
2024-08-29 15:17:19,747 Total fires detected: 1, Current fire count: 1, Max fire box: (110, 103, 119, 115), Avg confidence: 0.00, Center position: (114, 109)
2024-08-29 15:17:20,812 Total fires detected: 1, Current fire count: 1, Max fire box: (110, 103, 119, 115), Avg confidence: 0.00, Center position: (114, 109)
2024-08-29 15:17:21,809 Total fires detected: 1, Current fire count: 1, Max fire box: (67, 94, 83, 116), Avg confidence: 0.38, Center position: (75, 105)
2024-08-29 15:17:22,878 Total fires detected: 1, Current fire count: 1, Max fire box: (78, 87, 97, 113), Avg confidence: 0.00, Center position: (87, 100)
2024-08-29 15:17:23,927 Total fires detected: 1, Current fire count: 1, Max fire box: (81, 0, 183, 114), Avg confidence: 0.35, Center position: (132, 57)
2024-08-29 15:17:24,970 Total fires detected: 1, Current fire count: 1, Max fire box: (72, 94, 87, 104), Avg confidence: 0.00, Center position: (79, 99)
2024-08-29 15:17:25,980 Total fires detected: 1, Current fire count: 1, Max fire box: (68, 101, 102, 128), Avg confidence: 0.50, Center position: (85, 114)
